Assay_Plate_Barcode,Plate_Map_Name
2024_01_31_B8A1R2_P1T1,B8A1R2_P1
2024_01_31_B8A1R2_P1T2,B8A1R2_P1
2024_01_31_B8A1R2_P1T3,B8A1R2_P1
2024_01_31_B8A1R2_P1T4,B8A1R2_P1
2024_01_31_B8A1R2_P2T1,B8A1R2_P2
2024_02_01_B8A1R2_P2T2,B8A1R2_P2
2024_02_01_B8A1R2_P2T3,B8A1R2_P2
2024_02_01_B8A1R2_P2T4,B8A1R2_P2
2024_02_02_B8A1R2_P3T1,B8A1R2_P3
2024_02_02_B8A1R2_P3T2,B8A1R2_P3
2024_02_02_B8A1R2_P3T3,B8A1R2_P3
2024_02_02_B8A1R2_P3T4,B8A1R2_P3
2024_02_02_B8A1R2_P4T1,B8A1R2_P4
2024_02_05_B8A1R2_P4T2,B8A1R2_P4
2024_02_05_B8A1R2_P4T3,B8A1R2_P4
2024_02_05_B8A1R2_P4T4,B8A1R2_P4
